stop_name,routes,stop_lon,stop_lat
"Vernier-Gare/Croisette","57,C8,53,06,19 (57 (ZIMEYSA-Gare),C8 (Bois-Chébé),53 (Vernier-Parfumerie),06 (Vernier-Village),19 (Vernier-Village))",6.092611975655669,46.21905887053026
"Au Contour","42,D (42 (Carouge-Rondeau),D (Bel-Air))",6.102380673498825,46.16232253300511
"Théâtre","19,02 (19 (Onex-Cité),02 (Cressy))",6.141807952997259,46.20209586829783
"La Dame","38 (38 (Place Favre))",6.219522090084801,46.25121152188901
"Les Ouches","A1,51,NC,A6,06,19,22 (A1 (Fret),51 (CO Renard),NC (Vernier-Village/La Plaine-Gare),A6 (Fret),06 (Vernier-Village),19 (Vernier-Village),22 (ZIPLO))",6.117269026996197,46.21025414497193
"WTC","A1,57,A3,56,A2,28,A4,23,A6,10 (A1 (Fret),57 (Genève-Aéroport-Terminal),A3 (Fret),56 (Genève-Aéroport-Terminal),A2 (Fret),28 (Genève-Aéroport-Terminal),A4 (Fret),23 (Aéroport-P47),A6 (Fret),10 (Genève-Aéroport-Terminal))",6.10648461908403,46.22930180341905
"Milière","41 (41 (Petit-Veyrier))",6.158204462197197,46.16546958410298
"Veyrier-Ecole","34,NO,41 (34 (Chevrier),NO (Veryrier-Tournettes/Bardonnex),41 (Carouge-Tours))",6.182248617844551,46.16691021252029
"Appia","20,ND (20 (Valavran),ND (Gland-Gare))",6.137753411925414,46.22697512146171
"Les Baraques","T (T (La Plaine-Gare))",5.985922498880055,46.17634093817911
"Gaillard-Millet","17 (17 (Lancy-Pont-Rouge-Gare))",6.216385460304442,46.19136158933456
"Châtelaine","A1,51,NC,A6,06,19,22 (A1 (Fret),51 (CO Renard),NC (Vernier-Village/La Plaine-Gare),A6 (Fret),06 (Vernier-Village),19 (Vernier-Village),22 (ZIPLO))",6.112857457304687,46.21128430330993
"Meyrin-Village","18,68 (18 (Palettes),68 (CERN/Blandonnet))",6.072277601300301,46.22875337917035
"Rive","12,NK,17 (12 (Moillesulaz),NK (Jussy-Meurets/Monniaz-Hameau),17 (Annemasse-Parc Montessuit))",6.15281377442661,46.20173881108587
"Grand-Cara","C3,37,NK (C3 (Jussy-Meurets),37 (Lullier),NK (Jussy-Meurets/Monniaz-Hameau))",6.251601443197005,46.21215952115073
"Montfleury","ND (ND (Gland-Gare))",6.165817981612806,46.29214253708956
"Sous-Chevrens","NS,E_pl,38,E (NS (Gare Cornavin),E_pl (Gare Cornavin),38 (Place Favre),E (Rive))",6.234158746193958,46.28669982256464
"Anières-Chavannes","NS,E_pl,E (NS (Hermance-Village),E_pl (Hermance-Village),E (Hermance-Village))",6.229199258710115,46.28304895898266
"Servette","11 (11 (Genève-Eaux-Vives-Gare))",6.129092014171885,46.21344705118752
"Miléant","07,11,09 (07 (Bout-du-Monde),11 (Genève-Eaux-Vives-Gare),09 (Belle-Terre-Place de l'Araire))",6.127985990939709,46.20469358901693
"Genève-Sécheron-Gare","11,22 (11 (Jardin Botanique),22 (Jardin Botanique))",6.144750151631552,46.22340479191156
"Moulin-de-Richelien","NT,55 (NT (Bogis-Bossey),55 (Chavannes-des-Bois))",6.137715315704899,46.28091618023483
"Grand-Saconnex-Place","59 (59 (Genève-Aéroport-Terminal))",6.12358964894264,46.2330431256463
"Crêts-de-Champel","03,03 (03 (Gardiol),03 (Gardiol))",6.159197176713056,46.18710812733917
"Appia","20 (20 (Place de Neuve))",6.137542865716848,46.2270007684013
"La Boverie","72 (72 (Satigny-Gare))",6.027354307598723,46.20797294607706
"Stade Trois-Chêne","C3,37,31 (C3 (Malagnou),37 (Sous-Moulin),31 (Sous-Moulin))",6.192085542650993,46.19201951366251
"Nations","11,08 (11 (Genève-Eaux-Vives-Gare),08 (Veyrier-Douane/Veyrier-Tournettes))",6.138201517738687,46.22267971153196
"Attenville","53 (53 (Vernier-Parfumerie))",6.113853918788323,46.22760187691154
"Prés-Palais","NS,E_pl,E (NS (Gare Cornavin),E_pl (Gare Cornavin),E (Rive))",6.216323411052942,46.2663958841168
"Lullier","37,37,39 (37 (Sous-Moulin),37 (Sous-Moulin),39 (Pointe à la Bise))",6.256064000053943,46.22754897184414
"Montesquiou","43 (43 (Vallet/Loëx-Hôpital))",6.105951159655635,46.18104392325171
"Milière","NO,41 (NO (Veryrier-Tournettes/Bardonnex),41 (Carouge-Tours))",6.157864562189558,46.1656481447212
"Aire-la-Ville-Centre","70 (70 (Satigny-Gare))",6.043664688956267,46.18995099633674
"Thoiry-Place d'Allemogne","68 (68 (Saint-Genis-Jean Monnet/Thoiry-Centre commercial))",5.983553164534565,46.24442055365134
"Vallet","43,02 (43 (Vallet/Loëx-Hôpital),02 (Cressy))",6.090885459528789,46.18499172822933
"Moillesulaz","12,12,NV (12 (Lancy-Bachet-Gare),12 (Lancy-Bachet-Gare),NV (Moillesulaz))",6.206601015437689,46.19242983987264
"Puplinge-Mairie","C3,37,86,31 (C3 (Malagnou),37 (Sous-Moulin),86 (Annemasse-Gare Rotonde),31 (Sous-Moulin))",6.232013675056025,46.21086245021188
"Vieusseux","18,NA,14 (18 (Palettes),NA (Rive),14 (Bernex-Vailly))",6.125408042792399,46.21494587804884
"Les Mévaux","39 (39 (Pointe à la Bise))",6.265596531730486,46.22992701074448
"Athenaz-Passeiry","NM,J,77 (NM (Avusy-Village),J (Avusy-Village),77 (Sézegnin-Mairie d'Avusy))",6.002524667268818,46.15622314053361
"Camille-Martin","07,09 (07 (Lignon-Tours),09 (Lignon-Tours))",6.117567805465684,46.20626666981674
"Cirque","19,02 (19 (Onex-Cité),02 (Cressy))",6.139502843286041,46.20144649781676
"Aubert","08 (08 (Veyrier-Douane/Veyrier-Tournettes))",6.16366646539354,46.1924420811221
"Belle-Terre-Ecole","C3,01,32,09 (C3 (Jussy-Meurets),01 (Hôpital Trois-Chêne),32 (Jussy-Meurets/Monniaz-Hameau),09 (Belle-Terre-Place de l'Araire))",6.210251287543775,46.20197409361054
"Belle-Idée-Réception","01,34,31 (01 (Jardin-Botanique),34 (Chevrier),31 (Sous-Moulin))",6.206486968266114,46.20531431285625
"Pré-Monnard","23,22 (23 (Aéroport-P47),22 (Jardin Botanique))",6.116359035163364,46.18664475295729
"Bornes","C3,37 (C3 (Malagnou),37 (Sous-Moulin))",6.245134505625807,46.20715214561844
"Fillion","NO,41 (NO (Veryrier-Tournettes/Bardonnex),41 (Petit-Veyrier))",6.14484846518069,46.17799757371626
"Villars","NS,E_pl,38,E (NS (Gare Cornavin),E_pl (Gare Cornavin),38 (Place Favre),E (Rive))",6.240448555788153,46.29250783862818
"Loëx-Lanance","43 (43 (Vallet/Loëx-Hôpital))",6.083377464659507,46.19896968207379
"Bel-Air","12,NA,17 (12 (Lancy-Bachet-Gare),NA (CERN/Sergy-Centre),17 (Lancy-Pont-Rouge-Gare))",6.143836847833755,46.20389777471222
"Anières-Douane","G,38,G_pl (G (Rive),38 (Place Favre),G_pl (Gare Cornavin))",6.237642839475653,46.26814563091546
"Blandonnet","28 (28 (Genève-Aéroport-Terminal))",6.097865795189163,46.22260797963345
"Nant-Malet","46 (46 (Bardonnex))",6.122467383166401,46.1655007535415
"Veigy-Douane","G,G,G_pl,G_pl (G (Veigy-Douane/Veigy-Village),G (Veigy-Douane/Veigy-Village),G_pl (Gare Cornavin),G_pl (Gare Cornavin))",6.246625482711497,46.2764823509181
"Sergy-Gare","68 (68 (CERN/Blandonnet))",6.01062255110349,46.24881005885591
"Cottenets","NM,47 (NM (Avusy-Village),47 (Confignon-Croisée))",6.059227519807648,46.16233901196808
"Combettes","45 (45 (Troinex-Ville))",6.143806423821445,46.16958781687882
"Villette","08 (08 (Appia/OMS))",6.181585707675227,46.18166316083604
"Saint-Julien-Gare","N,D (N (Lycée De Staël),D (Bel-Air))",6.085102469931581,46.14320590876483
"La Salésienne","34,41 (34 (Chevrier),41 (Petit-Veyrier))",6.180799246902625,46.16893718547749
"Gautier","01,25 (01 (Hôpital Trois-Chêne),25 (Thônex-Vallard))",6.150426398503849,46.21351041957738
"Montfleury","50 (50 (Genève-Aéroport-Terminal))",6.163710920938061,46.29142128312265
"Sonnex","22 (22 (ZIPLO))",6.123455077613312,46.22853183522778
"Roday","44,62 (44 (Croix-de-Rozon-Douane),62 (Collonges-Marché))",6.138915049668224,46.16274632999474
"Chemin du Righi","G,E (G (Veigy-Douane/Veigy-Village),E (Hermance-Village))",6.176770265953244,46.21638009158608
"Bois-Chébé","C8,53 (C8 (Bois-Chébé),53 (Vernier-Parfumerie))",6.072973303520373,46.20682861764065
"Maconnex-Arcades","F (F (Gare Cornavin))",6.086340150059821,46.28366846199415
"Prévessin-Les Aglands","64 (64 (Ferney-Mairie))",6.06797124939735,46.25441662810737
"Gare Cornavin","NC,06,19,10,09 (NC (Vernier-Village/La Plaine-Gare),06 (Vernier-Village),19 (Vernier-Village),10 (Genève-Aéroport-Terminal),09 (Lignon-Tours))",6.140234087657835,46.20885766870214
"Bernex-Vuillonnex","NJ,J,K,47,L,70 (NJ (Rive),J (Stade de Genève),K (Stade de Genève),47 (Confignon-Croisée),L (Confignon-Croisée),70 (Confignon-Croisée))",6.0796990042284,46.17786779324175
"Meinier-Essert","39 (39 (Pointe à la Bise))",6.223544438476503,46.24491893282664
"Maisonnex","18,NA,68 (18 (Palettes),NA (Rive),68 (CERN/Blandonnet))",6.060431430683186,46.23205856311964
"Grottes","08 (08 (Appia/OMS))",6.137564629543694,46.21290491739922
"Meinier-Pralys","A,NP,39 (A (Gy-Temple),NP (Anières-Mairie),39 (Presinge-Village))",6.226454945513507,46.24357592845227
"Chemin du Bac","28,23,22 (28 (Les Esserts),23 (Carouge-Tours),22 (ZIPLO))",6.112134867640809,46.19455214525129
"Calas","03,A6,35 (03 (Gardiol),A6 (Fret),35 (Sainte-Clotilde))",6.152615466746506,46.19021525562868
"Nations","15,15 (15 (Nations),15 (Nations))",6.139053684180333,46.22218171293308
